Parameter,Value,Uncertainty,Status
A1,52763.223786970884,36.63884523717114,fitted
FWHM_1,70.39753602901722,0.04710027936957903,fitted
A2,3212.8119464761735,7.872204750378918,fitted
FWHM_2,92.02456816498344,0.2045514371767763,fitted
C2,166.4131228334571,0.10533196297885292,fitted
A3,2565.387345001024,14.81728205714808,fitted
FWHM_3,70.68167007908887,0.37906574885079497,fitted
C3,-82.79907807847502,0.24865200044586017,fitted
A4,928.5138354933642,3.4003675593237355,fitted
FWHM_4,123.70825507775218,0.30621619126038335,fitted
C4,-290.49482552654706,0.1687205889534979,fitted
A5,91.65663075765627,1.2567269082449686,fitted
FWHM_5,95.21491627217887,0.873364099586336,fitted
C5,493.29352920268377,0.433222645609404,fitted
A6,34.540969558307246,0.850682485514488,fitted
FWHM_6,56.56787542494816,0.7239406456658218,fitted
C6,-504.6238298335725,0.6597080462452962,fitted
